name,closedday,address,codepostal,ville
Tabac-Presse,Dimanche,35 BD. ARISTIDE BRIAND,93100,MONTREUIL
Tabac de la Cit¨¦,Lundi,221 BD TH?OPHILE SUEUR,93100,MONTREUIL
Le Saint-Laurent,,64 BD ROUGET DE L'ISLE,93100,MONTREUIL
Le Caf¨¦ de la Gare,Samedi,22 AV. DE LA R?PUBLIQUE,93110,ROSNY-SOUS-BOIS
Tabac des 4 Routes,Dimanche,52 AV. PAUL VAILLANT COUTURIER,93120,LA COURNEUVE
Le Celtic,Dimanche,1 R. ANATOLE FRANCE,93130,NOISY-LE-SEC
Tabac Suzanne,Dimanche,24 AV. SUZANNE BUISSON,93140,BONDY
Tabac des Tilleuls,Dimanche,22 R. MAURICE AUDIN,93150,LE BLANC-MESNIL
Le Brazza,Dimanche,140 R. PIERRE BROSSOLETTE,93160,NOISY-LE-GRAND
Le Bus,Dimanche,40 AV. DU G?N?RAL DE GAULLE,93170,BAGNOLET
Tabac-Presse,Dimanche,2 R. GASTON PHILIPPE,93200,SAINT-DENIS
Au Maryland,Mercredi,34 R. GABRIEL P?RI,93200,SAINT-DENIS
Librairie NGUYEN,Mercredi,/ AV. L?NINE CC GAGARINE,93230,ROMAINVILLE
Le Carnot,Dimanche,1 AV. DE VERDUN,93230,ROMAINVILLE
Le Totem,Dimanche,35 AV. PAUL VAILLANT COUTURIER,93240,STAINS
Le Calumet,Dimanche,76 R. DE PARIS,93260,LES LILAS
Le Royal,Lundi,40 BD DU G?N?RAL LECLERC,93260,LES LILAS
Rougemont Presse,Dimanche,2 R. PIERRE BROSSOLETTE,93270,SEVRAN
Au Tabac La Fourche,Dimanche,29 AV. ARISTIDE BRIAND,93320,LES PAVILLONS-SOUS-BOIS
Tabac de L'¨¦glise,Dimanche,132 AV. ARISTIDE BRIAND,93320,LES PAVILLONS-SOUS-BOIS
Le Longchamp,Dimanche,CCIAL LES FAUVETTES 1AV L?ON BLUM,93330,NEUILLY-SUR-MARNE
Bar Tabac l'Aviatic,Dimanche,30 AV. DE LA DIVISION LECLERC,93350,LE BOURGET
Le Grand Paris,Dimanche,13 BD. GALLIENI,93360,NEUILLY-PLAISANCE
Civette Des 7 Iles,Dimanche,186 AV. JEAN JAUR?S,93370,MONTFERMEIL
Le Fu¨¦go,Dimanche,80 AV. L?NINE,93380,PIERREFITTE-SUR-SEINE
L'?l¨¦gance,Jeudi,67 AV. GABRIEL P?RI,93400,SAINT-OUEN
Presse du Quartier,Dimanche,6 R. L?ON,93600,AULNAY-SOUS-BOIS
Tabac du March¨¦,Lundi,5 R. JACQUES DUCLOS,93600,AULNAY-SOUS-BOIS
Le Brazza,Dimanche,76  R. ROGER SALENGRO,93700,DRANCY
Le Balto,Lundi,229 AV. JEAN JAUR?S,93700,DRANCY
Totem,Dimanche,27 R. FALKIRK,94000,CR?TEIL
Le Royal Bleuet,Lundi,115 R. CH?RET,94000,CR?TEIL
Tabac du March¨¦,Dimanche,9 R. BOBILLOT,94100,SAINT-MAUR-DES-FOSS?S
Le Gambetta,Dimanche,1 PL. DE RIMINI,94100,SAINT-MAUR-DES-FOSS?S
Le Milton,Dimanche,25 AV. VLADIMIR ILITCH L?NINE,94110,ARCUEIL
Tabac Le Verdun,Jeudi,72 BD. DE VERDUN,94120,FONTENAY-SOUS-BOIS
Le Tabac du Chatelet,,8 R. SAINT DENIS,75001,PARIS
Le Vaillant,Dimanche,122 R. EDOUARD VAILLANT,94140,ALFORTVILLE
Et Cetera,Dimanche,10 R. DES HALLES,75001,PARIS
Le Tom Tip,Dimanche,48 R. ETIENNE DOLET,94140,ALFORTVILLE
Le Caf¨¦ Frapp¨¦,Dimanche,95 R. MONTMARTRE,75002,PARIS
Le Fortville,Lundi,106 R. V?RON,94140,ALFORTVILLE
La maison du Marais,,53 R. SAINT PAUL,75004,PARIS
Tabac de l¡®avenue,Dimanche,48 BD. DE LA LIBERT?,94170,LE PERREUX-SUR-MARNE
Tabac-Loto-Presse,Dimanche,26 R. DE RIVOLI,75004,PARIS
L'Etincelle,,82 BD PAUL VAILLANT COUTURIER,94200,IVRY-SUR-SEINE
Civette Bastille,Dimanche,4 R. DE LA BASTILLE,75004,PARIS
Le Diplomate,Dimanche,57 AV.DE LA R?PUBLIQUE,94260,FRESNES
Tabac St-Germain,Dimanche,54 BD SAINT-GERMAIN,75005,PARIS
Le Royal Marigny,Dimanche,26 AV. DE FONTAINEBLEAU,94270,LE KREMLIN-BIC?TRE
Les Oliviers,Dimanche,66 R. CLAUDE BERNARD,75005,PARIS
Le Marigny,Dimanche,65 R. DE FONTENAY,94300,VINCENNES
Le Calumet,Dimanche,30 R. NOTRE-DAME-DES-CHAMPS,75006,PARIS
Le Berry,Dimanche,64 BD DE LA LIB?RATION,94300,VINCENNES
La Civette Brea,,54 R. NOTRE DAME DES CHAMPS,75006,PARIS
Le St-Exup¨¦ry,Dimanche,1 VOIE DES SAULES,94310,ORLY
cave a cigares,Dimanche,23 AV.DE LA MOTTE PICQUET,75007,PARIS
Tabac de La Gare,Dimanche,7 PL. DU 8 MAI 1945,94310,ORLY
Tabac Eiffel,Dimanche,22 AV. DE LA BOURDONNAIS,75007,PARIS
Le Rallye,Dimanche,77 R. DU G?N?RAL DE GAULLE,94350,VILLIERS-SUR-MARNE
Le Castel,Dimanche,5 AV. DE SUFFREN,75007,PARIS
Totem,Dimanche,41 BD. GALLIENI,94360,BRY-SUR-MARNE
La boite ¨¤ cigare,,23 DE ROME,75008,PARIS
La Navette De Bry,Samedi,1 PL. DAGUERRE,94360,BRY-SUR-MARNE
La Civette Wagram,Dimanche,8 AV. DE WAGRAM,75008,PARIS
Le Fontenoy,Lundi,120 AV. ERNEST HAVET,94400,VITRY-SUR-SEINE
Tabac du Rocher,Dimanche,91 R. DU ROCHER,75008,PARIS
Le Reinitas,Dimanche,6 PL. PAUL FROMENT,94400,VITRY-SUR-SEINE
L' Espace Tabac,Dimanche,1 R. CLAPEYRON,75008,PARIS
Tabac de l'Empire,Dimanche,59 BD DE STALINGRAD,94400,VITRY-SUR-SEINE
L'Ariel,Dimanche,20 R. DES MARTYRS,75009,PARIS
Tabac Le France,Dimanche,33 AV. EVA SALMON,94400,VITRY-SUR-SEINE
Le Dunhill,Dimanche,38 R. DE ROCHECHOUART,75009,PARIS
Plessis Presse,Dimanche,38 AV. ARDOUIN,94420,LE PLESSIS-TR?VISE
Le Hollywood,Dimanche,19 R. DE CLICHY,75009,PARIS
Au Scribe,Lundi,18 R. ALBERT THOMAS,94500,CHAMPIGNY-SUR-MARNE
Le Cigarium,Dimanche,5 R. GODOT DE MAUROY,75009,PARIS
Tabac du Fort,Mardi,123 R. DU MONUMENT,94500,CHAMPIGNY-SUR-MARNE
Le Navy,Dimanche,26 R. DU CH?TEAU D'EAU,75010,PARIS
Aux livres Valentin,Dimanche,CCIAL 14 AV. DU MAR. MORTIER,94510,LA QUEUE-EN-BRIE
Vall¨¦e de Vinales,,262 R. DU FAUBOURG ST-MARTIN,75010,PARIS
Le Marigny,Dimanche,4 R. HENRI CRETTE,94550,CHEVILLY-LARUE
Paristar,Dimanche,88BIS AV. PARMENTIER,75011,PARIS
7¨¨me Avenue,Dimanche,60 AV. DE PARIS,94800,VILLEJUIF
Le Normandie,Dimanche,109 R. DE CHARONNE,75011,PARIS
Tabac - Presse,Dimanche,63 R. DU MOULIN DE SAQUET,94800,VILLEJUIF
Habanos,Dimanche,32 BD RICHARD-LENOIR,75011,PARIS
Le Disque Bleu,Dimanche,29 AV. PAUL VAILLANT-COUTURIER,94800,VILLEJUIF
Tabac Soult,Dimanche,76 BD. SOULT,75012,PARIS
Tabac du Vieux Pays,Dimanche,17 R. DE VERDUN,95140,GARGES-L?S-GONESSE
Le Bercy,Dimanche,6 R. CHAMBERTIN,75012,PARIS
Le Vizir,Dimanche,10 AV. DE LA DIVISION LECLERC,95170,DEUIL-LA-BARRE
La Civette Dor¨¦e,Dimanche,3 BD. SOULT,75012,PARIS
Le Celtique,Dimanche,23 R.DE LA GARE,95170,DEUIL-LA-BARRE
Tabac des Colonnes,Dimanche,6 COURS DE VINCENNES,75012,PARIS
Les Mortefontaines,Dimanche,63 AV. MATHIEU CHAZOTTE,95170,DEUIL-LA-BARRE
La Civette de Bercy,,4 PAS. SAINT-EMILION,75012,PARIS
Tabac du Puits,Dimanche,1 AV. DU 8 MAI 1945,95400,VILLIERS-LE-BEL
Tabac de Patay,,75 R. PATAY,75013,PARIS
Bl¨¦ Garni,Mercredi,127 AV. GABRIEL P?RI,95870,BEZONS
Tabac - Presse,Dimanche,156 R. DE TOLBIAC,75013,PARIS
Journaux - Presse,Dimanche,215 R. DE TOLBIAC,75013,PARIS
Maison de la Presse,Dimanche,7 R. ELSA MORANTE,75013,PARIS
La Bouffarde,Dimanche,124 R. DE TOLBIAC,75013,PARIS
Tabac - Presse,Dimanche,129 BD MASS?NA,75013,PARIS
Le Tabaclub,Dimanche,45 AV. D' ITALIE,75013,PARIS
LA TABACASE,,30 AV. D' ITALIE,75013,PARIS
Le Nagu¨¨re,Dimanche,66 R. DAGUERRE,75014,PARIS
La Civette d'Al¨¦sia,Dimanche,220 AV. DU MAINE,75014,PARIS
Tabac de la Mairie,Dimanche,165 AV. DU MAINE,75014,PARIS
Le Rallye,Dimanche,81 R. DE LA TOMBE ISSOIRE,75014,PARIS
Tabac Le Village,Lundi,70 R. DES ENTREPRENEURS,75015,PARIS
Les Volut¨¦s,,114 R. DE LA CONVENTION,75015,PARIS
L¡®Alliance,Dimanche,52-56 R. DE LA CROIX-NIVERT,75015,PARIS
Le Comptoir du Parc,Dimanche,20 R. CAUCHY,75015,PARIS
Le Diplomate,Dimanche,252 R. DE LA CONVENTION,75015,PARIS
Tabac de l'empire,,64 R. MICHEL ANGE,75016,PARIS
Tabac Franklin,,4 R. BENJAMIN FRANKLIN,75016,PARIS
Le Bouquet d'Auteuil,Dimanche,8 R. D'AUTEUIL,75016,PARIS
Mille et une Feuille,Dimanche,139 BIS AV. DE VERSAILLES,75016,PARIS
Tabac du D?me,Dimanche,24 R. LAURISTON,75016,PARIS
Le Carol¨¨ne,,56 R. BERZ?LIUS,75017,PARIS
Le Brazza,Lundi,53 R. DE TOCQUEVILLE,75017,PARIS
Tabac Le Tocqueville,Dimanche,55 BD. PEREIRE,75017,PARIS
le Boursault,,62 R. DES DAMES,75017,PARIS
Caf¨¦ Malesherbes,,192 BD. DE MALESHERBES,75017,PARIS
Le Maillot,Dimanche,78 AV. DE LA GRANDE ARM?E,75017,PARIS
Tabac Royal Moulin,,16 R. DE CLIGNANCOURT,75018,PARIS
Tabac La Com¨¨te,Dimanche,50 R. MARX DORMOY,75018,PARIS
Le Caf¨¦ du Quartie,,228 R. DE CHAMPIONNET,75018,PARIS
Le Celtic,Dimanche,104 AV. DE SAINT-OUEN,75018,PARIS
Tabac 68,Dimanche,68 R. DU POTEAU,75018,PARIS
Le Navigateur,Dimanche,103 AV. SIMON BOLIVAR,75019,PARIS
Village des F¨ºtes,Dimanche,15/17 R. HENRI RIBI?RE,75019,PARIS
Tabac des Petits C,Dimanche,43 R. DES PETITS-CHAMPS,75001,PARIS
Le Calumet,Dimanche,9 AV. SECR?TAN,75019,PARIS
La Tabati¨¨re,Dimanche,17 BD MONTMARTRE,75002,PARIS
Karr Presse,Dimanche,37 R. ALPHONSE KARR,75019,PARIS
Calumet des Halles,,47 R. MONTORGUEIL,75002,PARIS
Tabac L'Horloge,Dimanche,212 AV. JEAN JAUR?S,75019,PARIS
Le Losange,Dimanche,150 R. SAINT-DENIS,75002,PARIS
Le Saint-Claude,Dimanche,3 R. DE BAGNOLET,75020,PARIS
Le Progr¨¨s,Dimanche,1 R. DE BRETAGNE,75003,PARIS
Le Narval,Dimanche,235 R. DES PYR?N?ES,75020,PARIS
Tabac de la Sorbonne,Dimanche,7 PL. DE LA SORBONNE,75005,PARIS
Tabac Krys,Dimanche,54 R. DE BAGNOLET,75020,PARIS
Caf¨¦ Lilou,Dimanche,62 BD DU PORT ROYAL.,75005,PARIS
Au Balcon,Lundi,142 BD. DE M?NILMONTANT,75020,PARIS
Tabac de la Mutualit,Samedi,13 R. MONGE,75005,PARIS
Le Tierc¨¦,Dimanche,3 PL. AUGUSTE METIVIER,75020,PARIS
Presse - Tabac,Dimanche,9 R. DE BLAINVILLE,75005,PARIS
Tabac d'Eden,Dimanche,82 BD. DE BELLEVILLE,75020,PARIS
Le Week End,Dimanche,36 R. GAY LUSSAC,75005,PARIS
Le Baccara,Dimanche,66 R. DE BELLEVILLE,75020,PARIS
Coll¨¨ge de France,Dimanche,21 R. JEAN DE BEAUVAIS,75005,PARIS
Tabac le Vincennes,Dimanche,67 COURS DE VINCENNES,75020,PARIS
La Fontaine St Miche,Dimanche,3 BD SAINT-MICHEL,75005,PARIS
Le Vingti¨¨me,,82 R. BELGRAND,75020,PARIS
Civette Rennes,Dimanche,111 R. DE RENNES,75006,PARIS
Espace Tabac,Lundi,74 R. JEAN JAUR?S,77410,CLAYE-SOUILLY
Tabac de la Mairie,Dimanche,114 R. DE GRENELLE,75007,PARIS
Tabac des Arcades,Dimanche,163 R. DU PDT FRAN?OIS MITTERRAND,91160,LONGJUMEAU
Le Paris Duquesne,Dimanche,41 AV. DUQUESNE,75007,PARIS
Tabac le plaisance,,4 COURS  JOSEPH DEWALLE,91200,ATHIS-MONS
Tabac Bac St-Germain,Dimanche,66 R. DU BAC,75007,PARIS
Royal Massy,Mercredi,48 R. GABRIEL P?RI,91300,MASSY
Le Balto,,74 R. DE S?VRES,75007,PARIS
Tabac du Languedoc,Dimanche,6 R. D'ALGER,91300,MASSY
Saint Philippe Roule,,68 R. DE LA BO?TIE,75008,PARIS
Le Marigny,Dimanche,7 PL. LUCIEN BOILLEAU,91420,MORANGIS
Le Rocher St-Lazare,Dimanche,5 BIS R. DU ROCHER,75008,PARIS
L'Escale,Dimanche,111 AV. DE LA R?PUBLIQUE,91600,SAVIGNY-SUR-ORGE
Le Pot ¨¤ Tabac,Dimanche,28 R. DE LA P?PINI?RE,75008,PARIS
Tabac de la Gare,,3 PL.  DE LA GARE,91600,SAVIGNY-SUR-ORGE
Tabac Haussmann,,46 R. DE LABORDE,75008,PARIS
L¡®europ¨¦en,Dimanche,87 R. MAURICE THOREZ,92000,NANTERRE
Tabac le DERBY,,15 R. LA BO?TIE,75008,PARIS
Presse,Dimanche,2 ROND POINT RHIN ET DANUBE,92100,BOULOGNE-BILLANCOURT
Le Li¨¨ge,Dimanche,45 R. D'AMSTERDAM,75008,PARIS
Le Lut¨¦tia,Dimanche,127 BD JEAN JAUR?S,92100,BOULOGNE-BILLANCOURT
Le Vizir,Dimanche,42 R. LAFAYETTE,75009,PARIS
Du Point du Jour,,23 PL. MARCEL PAGNOL,92100,BOULOGNE-BILLANCOURT
L'Energie,Dimanche,65 R. DE MAUBEUGE,75009,PARIS
Le Disque Bleu,Dimanche,68 AV. HENRI GINOUX,92120,MONTROUGE
La Caravelle,Dimanche,14 R. D'AMSTERDAM,75009,PARIS
Caf¨¦ de l' Europe,,79/81 AV. PIERRE BROSSELETTE,92120,MONTROUGE
La Havane,,4 PL. DE CLICHY,75009,PARIS
Le Fumoir,Dimanche,4 PL. PAUL VAILLANT COUTURIER,92130,ISSY-LES-MOULINEAUX
Le St Maur,Dimanche,217 R. SAINT MAUR,75010,PARIS
Le Porte Plume,Dimanche,58 AV. VICTOR CRESSON,92130,ISSY-LES-MOULINEAUX
Le Royal Strasbourg,Dimanche,34 BD. DE STRASBOURG,75010,PARIS
Tabac du Th¨¦?tre,Dimanche,2 PL. DE STALINGRAD,92150,SURESNES
Le Lut¨¦tia,Dimanche,47 R. DE LA GRANGE AUX BELLES,75010,PARIS
Tabac de la Gare,Dimanche,2 R. MERLIN DE THIONVILLE,92150,SURESNES
La Barrique,Dimanche,7 R. BEAUREPAIRE,75010,PARIS
Seventeen,Dimanche,17BIS R. MARCEL ALLEGOT,92190,MEUDON
Madi's Sons,Dimanche,92 R. DE LA ROQUETTE,75011,PARIS
Civette de Neuilly,Dimanche,105 AV. CHARLES DE GAULLE,92200,NEUILLY-SUR-SEINE
Royale Civette,Dimanche,164 R. DE LA ROQUETTE,75011,PARIS
Kiosque ¨¤ Journaux,Dimanche,65 BD DE LA R?PUBLIQUE,92210,SAINT-CLOUD
Tabac Saint-Antoine,Dimanche,203 R. DU FAUBOURG SAINT-ANTOINE,75011,PARIS
Tabac de la Colline,Dimanche,37 R. D'ORL?ANS,92210,SAINT-CLOUD
Le Royal Parmentier,Dimanche,17 AV. PARMENTIER,75011,PARIS
Fontaine aux Roses,Dimanche,113 R. BOUCICAUT,92260,FONTENAY-AUX-ROSES
Le R¨¦sident,Dimanche,51 BD. SOULT,75012,PARIS
ALPHA,Dimanche,22 R. BOUCICAUT,92260,FONTENAY-AUX-ROSES
Tabac Dido,Dimanche,113 R. DE CHARENTON,75012,PARIS
Le Maryland,,139 R. VICTOR HUGO,92270,BOIS-COLOMBES
Le Naja,Dimanche,56 AV. DES GOBELINS,75013,PARIS
Le Pav¨¦ des Gardes,Lundi,38 ROUTE DU PAV? DES GARDES,92310,S?VRES
Korum-Caf¨¦,Dimanche,12 R. NEUVE TOLBIAC,75013,PARIS
Tabac - Presse,Dimanche,60 AV. DE PARIS,92320,CH?TILLON
Pourquoi Pas,Dimanche,136 AV. D'ITALIE,75013,PARIS
LA TABATIERE,,80 AV. MARCELLIN BETHELOT,92320,CH?TILLON
Le Jeanne d' Arc,Dimanche,2 R. JEANNE D'ARC,75013,PARIS
Pro-Itech,Mercredi,8 R. SAINT-EXUP?RY,92360,MEUDON-LA-FOR?T
Le Narval,Dimanche,58 R. JEANNE D'ARC,75013,PARIS
Tabac Le Joli Mai,Dimanche,29 AV. DU G?N?RAL DE GAULLE,92360,MEUDON-LA-FOR?T
Tabac des Olympiades,Mercredi,66 AV. D'IVRY,75013,PARIS
Tabac du Golf,Dimanche,79 R. DU 19 JANVIER,92380,GARCHES
La Civette 14,Dimanche,141 R. RAYMOND LOSSERAND,75014,PARIS
Les Arcades,Dimanche,4 R. ATHIME RU?,92380,GARCHES
Tabac des Plantes,Dimanche,36-38 R. DES PLANTES,75014,PARIS
La Rotonde,Dimanche,13 R. HENRI BARBUSSE,92390,VILLENEUVE-LA-GARENNE
Le Saint-Laurent,,55 R. DU P?RE CORENTIN,75014,PARIS
Presse Le Protocole,Samedi,36BIS SQUARE DES COROLLES,92400,COURBEVOIE
Le 7 ¨¨me Art,Dimanche,84 R. RAYMOND LOSSERAND,75014,PARIS
L'Europ¨¦en,Dimanche,165 BD DE VERDUN,92400,COURBEVOIE
Le Marigny,Dimanche,92 R. DIDOT,75014,PARIS
Le Flash,,39 R. JEAN PIERRE TIMBAUD,92400,COURBEVOIE
La Royale,Dimanche,80 R. DE L'AM. MOUCHEZ,75014,PARIS
Presse'tige,Dimanche,191 AV. NAPOL?ON BONAPARTE,92500,RUEIL-MALMAISON
Le Balard,Dimanche,3 PL. BALARD,75015,PARIS
Le Narval,,2 R. DU GU?,92500,RUEIL-MALMAISON
La Carrotte Motte-Pi,,55-57 AV. DE LA MOTTE PICQUET,75015,PARIS
Le Balto,Dimanche,66 R. DE LA SABLI?RE,92600,ASNI?RES-SUR-SEINE
Le Marigny,Lundi,59 BD LEFEBVRE,75015,PARIS
Le Havane,Dimanche,9 R. DE LA STATION,92600,ASNI?RES-SUR-SEINE
Librairie du Lyc¨¦e,Dimanche,304 R. LECOURBE,75015,PARIS
Le Mondial,Dimanche,8 PL. LOUIS ARAGON,92700,COLOMBES
Le Celtic,Dimanche,1 R. MADEMOISELLE,75015,PARIS
La Coupole D'Argent,Dimanche,1 R. CHANTECOQ,92800,PUTEAUX
Civette St-Charles,Dimanche,158 RD-PT ST-CHARLES,75015,PARIS
Civette de Bobigny,Dimanche,90 BD. MAURICE THOREZ,93000,BOBIGNY
Beau Drugstore,,45 R. LINOIS,75015,PARIS
Tabac de l'¨¦glise,Lundi,44288 R. DU G?N?RAL GALLIENI,93110,ROSNY-SOUS-BOIS
Le Chamois,Dimanche,355 R. DE VAUGIRARD,75015,PARIS
Tabac Le Jollois,Dimanche,39 BD. PASTEUR,93120,LA COURNEUVE
Le Kennedy,Dimanche,12 AV. DE VERSAILLES,75016,PARIS
Le Mistral,Dimanche,27 R. ETIENNE DOLET,93140,BONDY
Tabac des Sablons,Dimanche,30 R. GREUZE,75016,PARIS
Civette de Bel Est,Dimanche,28 AV. DU G?N?RAL DE GAULLE,93170,BAGNOLET
Le Havane,Dimanche,188 AV. DE VERSAILLES,75016,PARIS
Le Fontenoy,Dimanche,17 PL. DE LA LIB?RATION,93190,LIVRY-GARGAN
Tabac Jeux,Dimanche,96 R. RAYNOUARD,75016,PARIS
Le Royal Club,,222 AV. DU PR?SIDENT WILSON,93210,SAINT-DENIS
Tabac de la Muette,Dimanche,6 CHAUSS?E DE LA MUETTE,75016,PARIS
Tabac du Chesnay,Dimanche,13 PL. TAVARNELLE,93220,GAGNY
Le Tabac du Terminus,Dimanche,8 PL. DE LA PORTE DE SAINT-CLOUD,75016,PARIS
Civette du Globe,Lundi,107 AV. DE STALINGRAD,93240,STAINS
Civette Ponce,,14 R. PONCELET,75017,PARIS
Le Jean Bart,Dimanche,159 R. DE PARIS,93260,LES LILAS
La Rotonde H¨¦bertine,,3 PL. H?BERT,75018,PARIS
L¡®imperial,Mercredi,38 R. D'AULNAY,93270,SEVRAN
Le Calumet,Dimanche,29 RUE RAMEY,75018,PARIS
Le Real,Dimanche,63 R. DU MOUTIER,93300,AUBERVILLIERS
Le Nouveau Si¨¨cle,,156 AV. DE SAINT OUEN,75018,PARIS
La Terrasse,Dimanche,10 BD. DU MAR?CHAL FOCH,93330,NEUILLY-SUR-MARNE
Caf¨¦ Rosa,Dimanche,46 R. C?SARIA EVORA,75019,PARIS
Le Fontenoy,Lundi,134 AV. DE LA R?SISTANCE,93340,LE RAINCY
Tabac Presse,Dimanche,36 AV. SIMON BOLIVAR,75019,PARIS
Civette du Bourget,Dimanche,15 R. ?TIENNE DOLET,93350,LE BOURGET
Tabac La Gascogne,Dimanche,1 SQ. DE LA GASCOGNE,75020,PARIS
Le Madrigal,Dimanche,64 AV. DANIEL PERDRIGE,93360,NEUILLY-PLAISANCE
Le Narval,Dimanche,93 R. D'AVRON,75020,PARIS
Le Petit Foch,Dimanche,86 AV. DU MAR?CHAL FOCH,93360,NEUILLY-PLAISANCE
Le R¨¦veil Matin,,135 R. DE M?NILMONTANT,75020,PARIS
Le Balto,Lundi,29 R. DE PARIS,93380,PIERREFITTE-SUR-SEINE
Le Chiquito,Dimanche,38 R. LEVERT,75020,PARIS
Bar l'Express,Dimanche,2 PL. DU G?N?RAL LECLERC,93380,PIERREFITTE-SUR-SEINE
Le Malakoff,Lundi,36 R. DU GRAND CERF,77100,MEAUX
Tabac  Marronniers,Dimanche,4 ALL. DE GAGNY (C.CIAL),93390,CLICHY-SOUS-BOIS
L'¨¦toile des roches,Dimanche,37 COURS DES ROCHES,77186,NOISIEL
Le Boyard,Dimanche,2 AV. MICHELET,93400,SAINT-OUEN
tabac de la mairie,Dimanche,6 ALL. JEAN BAPTISTE COLBERT,77200,TORCY
Le S¨¦nioritas,Dimanche,169 R. DU DR BAUER,93400,SAINT-OUEN
Tabac PENG,Lundi,/ AV.DE LA R?PUBLIQUE C.CIAL2000,77340,PONTAULT-COMBAULT
Le Paris-Lille,Dimanche,36 AV. DU CIMETI?RE PARISIEN,93500,PANTIN
Le Larzac,Dimanche,2 AV. DE LA R?SISTANCE,77500,CHELLES
Le Starsbourg,Lundi,1 BD.DE STRASBOURG,93600,AULNAY-SOUS-BOIS
Les Impressionnistes,Lundi,21 BD FERNAND HOSTACHY,78290,CROISSY-SUR-SEINE
Le Celtique,Dimanche,1 BD. PAUL VAILLANT COUTURIER,93700,DRANCY
La Concorde,Lundi,120 R. D'ESTIENNE D'ORVES,91370,VERRI?RES-LE-BUISSON
Le Bistrot de Paris,Dimanche,32 R. DE PARIS,93800,?PINAY-SUR-SEINE
Le Fontenoy,Lundi,1 R. H. OUZILLEAU C.C GRAND VAUX,91600,SAVIGNY-SUR-ORGE
Presse L'Ob¨¦lisque,Dimanche,15 IMP. DU NOYER BOSSU,93800,?PINAY-SUR-SEINE
Le Fontenoy,Dimanche,36 R. HENRI BARBUSSE,92000,NANTERRE
Tabac - Presse,Dimanche,8 BD MONTAIGUT,94000,CR?TEIL
Le Balto,Lundi,1 R. DE STALINGRAD,92000,NANTERRE
Tabac Le Val,Dimanche,10 AV DU VAL DE FONTENAY,94120,FONTENAY-SOUS-BOIS
Le Marigny,Dimanche,97 ROUTE DE LA REINE,92100,BOULOGNE-BILLANCOURT
Le Brazza,Lundi,186 GRANDE RUE CHARLES DE GAULLE,94130,NOGENT-SUR-MARNE
Tabac du March¨¦,Lundi,64 R. DE NEUILLY,92110,CLICHY
Le Brazza,Dimanche,10 AV. JOFFRE,94160,SAINT-MAND?
Tabac de la Mairie,Dimanche,83 BD JEAN JAUR?S,92110,CLICHY
Tabac du Parc,Dimanche,48 AV. LEDRU ROLLIN,94170,LE PERREUX-SUR-MARNE
Bar le Rallye,Dimanche,5 R. DU LANDY,92110,CLICHY
Bar-Tabac Le Start,Dimanche,219 AV. PIERRE BROSSOLETTE,94170,LE PERREUX-SUR-MARNE
Le Carv¨¨s,Dimanche,130 AV. ARISTIDE BRIAND,92120,MONTROUGE
Le Maryland,Dimanche,20 BD. D' ALSACE-LORRAINE,94170,LE PERREUX-SUR-MARNE
Presse Papier,Dimanche,54 R. D'EREVAN,92130,ISSY-LES-MOULINEAUX
Brasserie des Sports,Dimanche,8 R. RASPAIL,94200,IVRY-SUR-SEINE
Civette Saint-Claude,Dimanche,4 PL. DU G?N?RAL LECLERC,92150,SURESNES
Les Sports,Dimanche,96 AV. DE VERDUN,94200,IVRY-SUR-SEINE
Le Maryland,Mercredi,24 R. DE LA R?PUBLIQUE,92170,VANVES
Tabac Grand Ciel,Dimanche,30 BD P.VAILLANT-COUTURIER -CCIAL,94200,IVRY-SUR-SEINE
Au Soleil Levant,Dimanche,83 AV. VICTOR HUGO,92170,VANVES
Le Petit Flore,Dimanche,6 R. CROIX DES PETITS CHAMPS,75001,PARIS
L' aubrac,Dimanche,1 AV. MAR. DE LATTRE DE TASSIGNY,94220,CHARENTON-LE-PONT
Les Tilleuls,Dimanche,13 PL. DE STALINGRAD,92190,MEUDON
Le Ventadour,Dimanche,46 R. DES PETITS-CHAMPS,75002,PARIS
Studio-Presse,Dimanche,17 R. JEAN JAUR?S,94240,L'HA?-LES-ROSES
Le Celtique,Dimanche,221 AV. CHARLES DE GAULLE,92200,NEUILLY-SUR-SEINE
V¨¦locivette,Dimanche,22 R.TURBIGO,75002,PARIS
Le Dispan,Dimanche,3 R. DISPAN,94240,L'HA?-LES-ROSES
Le Beau Site,,140 BD DE LA R?PUBLIQUE,92210,SAINT-CLOUD
La Violette,Dimanche,5 BD. DE SAINT-DENIS,75003,PARIS
Tabac des Roses,Lundi,106 108 R. DE BIC?TRE,94240,L'HA?-LES-ROSES
Le Diplomate,,60 R. PIERRE TIMBAUD,92230,GENNEVILLIERS
Le Week-End,Dimanche,42 BD HENRI IV,75004,PARIS
Le Royal,Dimanche,9 R. DE CHEVILLY,94240,L'HA?-LES-ROSES
COULEURS,,4 AV. JULES FERRY,92240,MALAKOFF
Le Victoria,Dimanche,6 R. SAINT-MARTIN,75004,PARIS
Le Week End,Mercredi,31 AV. DES DAHLIAS,94240,L'HA?-LES-ROSES
Librairie - Presse,Dimanche,29 BD DE STALINGRAD,92240,MALAKOFF
Civette St Michel,,137 BD ST-MICHEL,75005,PARIS
