name,closedday,address,codepostal,ville
Le Fontenoy,Dimanche,34 AV. FRAN?OIS MITTERRAND,91200,ATHIS-MONS
L'Express,Dimanche,2 R. DU PDT ROBERT LAKOTA,91270,VIGNEUX-SUR-SEINE
le Longchamps,Dimanche,88 AV. ARISTIDE BRIAND,91420,MORANGIS
Le Cl¨¦menceau,Dimanche,276 AV. GEORGES CL?MENCEAU,92000,NANTERRE
Le Silly,Dimanche,143 R. DE SILLY,92100,BOULOGNE-BILLANCOURT
Le Lutecia,,27 AV. JEAN BAPTISTE CL?MENT,92100,BOULOGNE-BILLANCOURT
Le Bleu,Dimanche,22 R. DENFERT-ROCHEREAU,92100,BOULOGNE-BILLANCOURT
Au Ptit Creux Gourma,,11 R. GEORGES SEURAT,92110,CLICHY
Tabac Le Ribera,Dimanche,66 R. JEAN DE LA FONTAINE,75016,PARIS
Le Royal Exelmans,Dimanche,171 AV. DE VERSAILLES,75016,PARIS
Tabac de la Tour,,51 R. DE LA TOUR,75016,PARIS
La Favorite,Dimanche,39 R. DE PASSY,75016,PARIS
Tabac des Mus¨¦es,Dimanche,7 AV. PIERRE 1ER DE SERBIE,75016,PARIS
Royal Clichy,Dimanche,73 AV. DE CLICHY,75017,PARIS
Tabac des Ternes,Dimanche,108 AV. DES TERNES,75017,PARIS
Le Rallye,,29 BD. BROCHANT,75017,PARIS
La Civette des Arts,Dimanche,62 R. DAMR?MONT,75018,PARIS
Le Morzine,Lundi,63 R. DOUDEAUVILLE,75018,PARIS
Le Flash,,25 BD  ORNANO,75018,PARIS
Le Bretagne,Dimanche,2 R. DE LA R?PUBLIQUE,92220,BAGNEUX
Tabac du March¨¦,Lundi,2 R. VOLTAIRE,92250,LA GARENNE-COLOMBES
Le Louis XV,Samedi,31BIS R. DES BOURGUIGNONS,92270,BOIS COLOMBES
Le Jean Bart,Dimanche,11 R. D'ESTIENNE D'ORVES,92270,BOIS-COLOMBES
L'Ariel,Dimanche,62 R. BAUDIN,92300,LEVALLOIS-PERRET
Le Narval,Dimanche,120 R. ANATOLE FRANCE,92300,LEVALLOIS-PERRET
Au Fil des Jours,Dimanche,102 AV. DE PARIS,92320,CH?TILLON
Caf¨¦ des Sports,Mercredi,70 AV. GALOIS,92340,BOURG-LA-REINE
Le Muguet,Dimanche,1494 AV. ROGER SALENGRO,92370,CHAVILLE
Les Mar¨¦chaux,Dimanche,2 AV. JOFFRE,92380,GARCHES
La Tabati¨¨re,Dimanche,70 R. DE BEZONS,92400,COURBEVOIE
L'Atmosph¨¨re,Dimanche,5 R. DE L'ABREUVOIR,92400,COURBEVOIE
Tabac Becon,Dimanche,11 AV. DE LA LIBERT?,92400,COURBEVOIE
Le Chiquito,Dimanche,3 R. DE COLOMBES,92400,COURBEVOIE
Havannah Stock,Dimanche,3 R. BAUDIN  C.CIAL CHARAS,92400,COURBEVOIE
Le Marigny,Jeudi,92 R. DANTON,92500,RUEIL-MALMAISON
Tabac Jubill¨¦ 3,Dimanche,46 R. GALLIENI,92500,RUEIL-MALMAISON
Le Napol¨¦on 1er,Dimanche,115 AV. ALBERT 1ER,92500,RUEIL-MALMAISON
Le Rapide,Dimanche,31 R. D'ANJOU,92600,ASNI?RES-SUR-SEINE
Le Cyrano,,110 R. DES BOURGUIGNONS,92600,ASNI?RES-SUR-SEINE
Tabac des Victoires,Dimanche,1 PL. DES VICTOIRES,92600,ASNI?RES-SUR-SEINE
Le R¨¦nitas,Dimanche,102 AV. D'ARGENTEUIL,92600,ASNI?RES-SUR-SEINE
Aux Champarons,Dimanche,44 AV DE STALINGRAD,92700,COLOMBES
Le Diplomate,Dimanche,117 R. JEAN JAUR?S,92800,PUTEAUX
Tabac de la Gare,Dimanche,1 R. FERNAND PELLOUTIER,92800,PUTEAUX
L'?toile D'Or,Dimanche,22 R. DE L'?TOILE,93000,BOBIGNY
Civette Rosny 2,Dimanche,2 AV. DU GAL DE GAULLE C.CIAL R2,93110,ROSNY-SOUS-BOIS
La Tabati¨¨re,Dimanche,31 R. PHILIBERT HOFFMANN,93110,ROSNY-SOUS-BOIS
L'Impr¨¦vu,Dimanche,1 AV. PAUL VAILLANT COUTURIER,93120,LA COURNEUVE
Brasserie 6 Routes,Dimanche,1 R. SAINT-DENIS,93120,LA COURNEUVE
Tabac du Centre,Dimanche,64 R. JULES GUESDE,93140,BONDY
Maison de la Presse,Dimanche,33BIS AV. HENRI BARBUSSE,93150,LE BLANC-MESNIL
Le Globe,Lundi,27 AV. PIERRE ET MARIE CURIE,93150,LE BLANC-MESNIL
Cherbourg Presse,Dimanche,47 AV. DE STALINGRAD,93170,BAGNOLET
La Civette de Chanzy,Dimanche,4 BD. DE CHANZY,93190,LIVRY-GARGAN
Le M¨¦tropole,Dimanche,32 R. DE LA R?PUBLIQUE,93200,SAINT-DENIS
Le Tabac du Barrage,Dimanche,149 R. GABRIEL P?RI,93200,SAINT-DENIS
Le Balto,Dimanche,44 BD. JULES GUESDE,93200,SAINT-DENIS
La Mont Joie,Dimanche,171 AV. DU PDT WILSON,93210,LA PLAINE-SAINT-DENIS
Le Chavannes,Jeudi,162 ALL. DE MONTFERMEIL,93220,GAGNY
LE ROYAL FV,Dimanche,76 R. JEAN JAUR?S,93240,STAINS
Tabac de la Mairie,Dimanche,20 R. DU MOUTIER,93300,AUBERVILLIERS
Tabac Presse,,120 R. H?L?NE COCHENNEC,93300,AUBERVILLIERS
Tabac d' Hugo,Dimanche,2 AV. VICTOR HUGO,93320,LES PAVILLONS-SOUS-BOIS
Lib. du Val de Marne,,70 R. DU 11 NOVEMBRE,93330,NEUILLY-SUR-MARNE
Le Ninos,Dimanche,203 AV. ELIS?E RECLUS,93380,PIERREFITTE-SUR-SEINE
Tabac les Rosiers,Dimanche,56 R. DES ROSIERS,93400,SAINT-OUEN
Le Landy,,1 BD JEAN JAUR?S,93400,SAINT-OUEN
Le D?me,Dimanche,1 R. ALBERT DHALENNE,93400,SAINT-OUEN
Villa Picta,Dimanche,4 AV. DU PARC DE LA NOUE,93420,VILLEPINTE
Le Flash,Mardi,3 R. STE MARGUERITE,93500,PANTIN
Tabac Kas,Dimanche,CCIAL PARINOR-LE HAUT DE GALLY,93600,AULNAY-SOUS-BOIS
Librairie Fontaine,Dimanche,14 R. ARTHUR FONTAINE,93700,DRANCY
Presse Avenir,Dimanche,60 R. ST-STENAY - CCIAL AVENIR,93700,DRANCY
Le Cygne d'Enghien,Lundi,132 AV. JOFFRE,93800,?PINAY-SUR-SEINE
Maison Campana,Dimanche,1 R. DE MESLY - CCIAL,94000,CR?TEIL
La Civette,Dimanche,107 AV. DU G?N. DE GAULLE,94000,CR?TEIL
Tabac Le Village,Lundi,3 R. PAUL-FRAN?OIS AVET,94000,CR?TEIL
Le Kennedy,Dimanche,90 R. GARIBALDI,94100,SAINT-MAUR-DES-FOSS?S
LE DIPLOMATE,,2 PL. JACQUES TATI,94100,SAINT-MAUR-DES-FOSS?S
Le Chaperon Vert,Jeudi,14 AV. DU CHAPERON VERT,94110,ARCUEIL
Le Brazza,Dimanche,123 AV. ARISTIDE BRIAND,94110,ARCUEIL
Tabac de la Mairie,Lundi,175 R. PAUL VAILLANT COUTURIER,94140,ALFORTVILLE
Les Incorruptibles,Dimanche,102 AV. DU G?N?RAL DE GAULLE,94160,SAINT-MAND?
Tabac de La Gare,Mercredi,6 PL. ROBERT BELVAUX,94170,LE PERREUX-SUR-MARNE
Tabac de la Gare,Dimanche,81 BD DE BRANDEBOURG,94200,IVRY-SUR-SEINE
