Latitude,Longitude
42.4833333,1.4666667
42.4666667,1.5483598
42.4666667,1.5546467
42.4666667,1.5546467
42.4666667,1.4833333
42.5437947,1.5166667
42.5437947,1.5166667
42.5437947,1.5166667
42.5437947,1.5166667
42.5437947,1.5166667
42.5437947,1.5166667
42.5666667,1.5166667
42.5333333,1.5333333
42.5833333,1.5166667
42.5666667,1.4833333
42.4554787,1.5166667
42.4554787,1.5333333
42.4833333,1.4666667
42.4833333,1.4666667
42.4833333,1.4666667
42.5666667,1.6547467
42.5333333,1.5666667
42.4666667,1.5533664
42.4666667,1.5666667
42.4666667,1.5666667
42.5558497,1.5166667
42.5333333,1.5833333
42.6166667,1.5554689
42.5833333,1.6333333
42.5833333,1.6553666
42.5544657,1.5833333
42.5666667,1.6745434
42.5333333,1.5833333
42.5166667,1.5565749
42.5666667,1.5789357
42.5666667,1.5796785
42.5666667,1.5867654
42.5666667,1.5545756
42.5666667,1.5333333
42.5166667,1.5333333
42.5553657,1.5166667
42.4564565,1.4666667
42.4333333,1.5545756
42.4333333,1.5545756
42.5666667,1.5166667
42.5833333,1.6333333
42.5833333,1.6333333
42.5565789,1.5333333
42.5565789,1.5166667
42.5565789,1.5166667
42.5557738,1.5333333
42.5557738,1.5166667
42.5333333,1.5833333
42.5333333,1.5333333
42.6490789,1.5333333
42.6490789,1.5333333
42.6490789,1.5333333
42.4666667,1.5166667
42.6490789,1.5333333
42.6166667,1.5545756
42.4333333,1.4565978
42.5666667,1.4833333
42.5557738,1.6395376
42.5565789,1.5833333
42.5565789,1.5833333
42.4666667,1.5674293
42.5557738,1.5333333
42.5565789,1.4833333
42.5565789,1.7333333
42.5666667,1.6395376
42.5666667,1.5674293
42.5833333,1.6333333
42.5557738,1.6333333
42.5565789,1.6333333
42.5666667,1.6166667
42.4666667,1.5166667
42.5565789,1.5333333
42.4666667,1.5545756
42.5666667,1.6166667
42.5666667,1.6166667
42.4666667,1.5166667
42.4666667,1.5333333
42.5833333,1.6545747
42.5565789,1.6232479
42.5565789,1.5333333
42.4666667,1.5166667
42.5333333,1.5166667
42.5833333,1.6666667
42.5666667,1.5333333
42.5333333,1.5666667
42.4833333,1.4666667
42.5559856,1.4833333
24.466667,54.366667
24.466667,54.366667
25.285475,55.329611
24.466667,54.366667
24.466667,54.366667
24.466667,54.366667
