x,y
76,13
77,13
62,14
76,14
77,14
78,14
79,14
108,14
62,15
63,15
64,15
65,15
75,15
76,15
77,15
78,15
106,15
107,15
108,15
62,16
65,16
66,16
79,16
80,16
106,16
107,16
61,17
62,17
66,17
105,17
106,17
61,18
62,18
66,18
104,18
105,18
106,18
107,18
60,19
61,19
66,19
67,19
104,19
105,19
106,19
58,20
59,20
64,20
65,20
103,20
104,20
105,20
106,20
109,20
58,21
59,21
64,21
65,21
82,21
83,21
103,21
104,21
105,21
108,21
109,21
110,21
111,21
58,22
59,22
63,22
64,22
71,22
72,22
73,22
81,22
82,22
83,22
84,22
102,22
103,22
104,22
105,22
108,22
109,22
110,22
111,22
59,23
60,23
62,23
63,23
72,23
73,23
74,23
75,23
76,23
80,23
81,23
82,23
83,23
84,23
101,23
102,23
103,23
104,23
107,23
108,23
109,23
110,23
111,23
60,24
61,24
62,24
67,24
68,24
69,24
72,24
73,24
74,24
75,24
80,24
81,24
82,24
83,24
84,24
85,24
101,24
102,24
103,24
61,25
66,25
69,25
72,25
73,25
74,25
80,25
81,25
82,25
84,25
100,25
101,25
102,25
103,25
128,25
129,25
65,26
69,26
70,26
86,26
100,26
101,26
102,26
103,26
138,26
139,26
140,26
64,27
65,27
66,27
70,27
89,27
90,27
91,27
92,27
98,27
99,27
138,27
139,27
64,28
65,28
66,28
67,28
69,28
70,28
74,28
75,28
76,28
77,28
78,28
86,28
87,28
98,28
99,28
100,28
101,28
127,28
128,28
129,28
62,29
66,29
68,29
69,29
74,29
75,29
76,29
77,29
78,29
79,29
80,29
85,29
86,29
87,29
88,29
98,29
99,29
100,29
110,29
115,29
136,29
137,29
138,29
61,30
62,30
68,30
74,30
75,30
80,30
85,30
86,30
87,30
88,30
97,30
98,30
99,30
105,30
106,30
107,30
108,30
109,30
110,30
111,30
112,30
113,30
115,30
119,30
120,30
137,30
138,30
50,31
51,31
52,31
53,31
54,31
55,31
61,31
62,31
65,31
68,31
74,31
75,31
76,31
77,31
78,31
79,31
87,31
88,31
89,31
110,31
111,31
127,31
49,32
50,32
51,32
52,32
53,32
54,32
55,32
60,32
61,32
62,32
65,32
66,32
67,32
69,32
70,32
71,32
74,32
75,32
76,32
77,32
78,32
79,32
87,32
88,32
104,32
111,32
112,32
126,32
48,33
49,33
50,33
51,33
52,33
53,33
54,33
55,33
61,33
62,33
63,33
66,33
67,33
68,33
69,33
70,33
76,33
77,33
78,33
79,33
93,33
94,33
103,33
104,33
110,33
111,33
112,33
126,33
47,34
48,34
49,34
50,34
51,34
52,34
53,34
54,34
55,34
56,34
62,34
63,34
69,34
93,34
94,34
103,34
104,34
109,34
110,34
111,34
115,34
47,35
48,35
49,35
50,35
51,35
52,35
53,35
55,35
56,35
93,35
94,35
103,35
104,35
109,35
110,35
115,35
116,35
121,35
122,35
123,35
124,35
46,36
47,36
48,36
50,36
51,36
65,36
66,36
67,36
72,36
73,36
74,36
75,36
95,36
96,36
109,36
112,36
116,36
117,36
122,36
123,36
124,36
135,36
136,36
137,36
45,37
46,37
47,37
49,37
54,37
55,37
56,37
64,37
65,37
66,37
67,37
68,37
69,37
70,37
72,37
73,37
74,37
94,37
95,37
96,37
97,37
98,37
111,37
112,37
117,37
118,37
135,37
136,37
137,37
138,37
44,38
45,38
46,38
47,38
48,38
49,38
53,38
55,38
56,38
57,38
58,38
66,38
67,38
68,38
69,38
70,38
72,38
73,38
